Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kenya,KEN,Government Effectiveness: Estimate,GE.EST,-0.5208500623703,-0.490328997373581,-0.62007862329483,-0.756493151187897,-0.705886006355286,-0.666135549545288,-0.709110260009766,-0.655459582805634,-0.529211044311523,-0.624475121498108,-0.664479374885559,-0.582948446273804,-0.578526675701141,-0.540134847164154,-0.477865993976593,-0.358901530504227,-0.393976986408234,-0.402430564165115,-0.390356600284576,-0.493653178215027,-0.441659152507782,-0.399473369121552,-0.325909495353699,-0.329533219337463,-0.303605198860168
Kiribati,KIR,Voice and Accountability: Estimate,VA.EST,1.15089750289917,1.1751469373703,1.14229452610016,1.09009432792664,0.973531663417816,0.411308944225311,0.0249491948634386,0.701956987380981,0.642090916633606,0.748063683509827,0.634891211986542,0.635396778583527,0.837064266204834,0.774608671665192,0.805866718292236,0.939726650714874,0.978838384151459,1.00462400913239,1.04768788814545,1.12325739860535,1.08024489879608,1.11666798591614,1.12243890762329,1.09145033359528,1.08984088897705
Kiribati,KIR,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,0.510554671287537,0.258307546377182,0.0923269018530846,0.15075995028019,0.0412433929741383,-0.135274410247803,-0.0656659156084061,0.115431219339371,0.0232411809265614,-0.0257923621684313,0.289764940738678,0.246812596917152,0.290251106023788,0.414229869842529,0.348575413227081,0.368371486663818,0.467278957366943,0.28206479549408,0.236451625823975,0.411750495433807
Kiribati,KIR,Rule of Law: Estimate,RL.EST,0.809140563011169,0.876508176326752,0.839712262153625,0.83394581079483,0.833284139633179,0.604025423526764,0.750548362731934,0.885014533996582,0.810023128986359,0.399890422821045,0.142270758748055,0.061862401664257,0.121154494583607,0.182903423905373,0.229834407567978,-0.104548409581184,-0.153804197907448,0.300450533628464,0.585630178451538,0.576457321643829,0.817316353321075,1.01136934757233,0.886182308197021,0.625911593437195,0.587936818599701
Kiribati,KIR,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,-0.423489183187485,-0.457559108734131,-0.468085944652557,-0.660639941692352,-0.69921886920929,-0.80252867937088,-0.880354702472687,-0.783309817314148,-0.799028694629669,-0.768480479717255,-0.562647342681885,-0.378224104642868,-0.299970179796219,-0.0719000995159149,-0.0642903819680214,-0.0521556660532951,0.134626626968384,0.0940034687519073,0.166980341076851,-0.096573106944561
"Korea, Dem. People's Rep.",PRK,Voice and Accountability: Estimate,VA.EST,-1.92411243915558,-2.06768083572388,-2.11682319641113,-2.13580799102783,-2.18969345092773,-2.06829833984375,-2.16315007209778,-2.31339502334595,-2.23763728141785,-2.22634243965149,-2.27049374580383,-2.22747778892517,-2.24172234535217,-2.24007630348206,-2.2517991065979,-2.19343256950378,-2.20214128494263,-2.18074584007263,-2.20357131958008,-2.21117949485779,-2.20651888847351,-2.1550018787384,-2.06190371513367,-2.02407073974609,-1.97920870780945
"Korea, Dem. People's Rep.",PRK,Control of Corruption: Estimate,CC.EST,-1.28434658050537,-1.24869453907013,-1.30290651321411,-1.02666258811951,-1.43155789375305,-1.38584494590759,-1.28446447849274,-1.4435168504715,-1.5439600944519,-1.51846635341644,-1.28908085823059,-1.28319656848907,-1.31766355037689,-1.28702855110168,-1.29128420352936,-1.30452060699463,-1.27311015129089,-1.46206390857697,-1.50204193592072,-1.58803951740265,-1.60906040668488,-1.70288288593292,-1.62223219871521,-1.60601854324341,-1.58447635173798
"Korea, Dem. People's Rep.",PRK,Rule of Law: Estimate,RL.EST,-1.15406012535095,-1.15319609642029,-1.06633913516998,-1.31521606445312,-1.16723418235779,-1.27538299560547,-1.14158737659454,-1.39341068267822,-1.26028740406036,-1.23535180091858,-1.34402370452881,-1.38278949260712,-1.38583624362946,-1.35402989387512,-1.38203775882721,-1.61958861351013,-1.6563892364502,-1.67456996440887,-1.72327482700348,-1.64292967319489,-1.66091299057007,-1.60779571533203,-1.6355756521225,-1.66243231296539,-1.64286839962006
"Korea, Dem. People's Rep.",PRK,Government Effectiveness: Estimate,GE.EST,-1.89035034179688,-1.91686367988586,-1.79194414615631,-1.86447262763977,-1.83121395111084,-1.7434059381485,-1.72836196422577,-1.76751530170441,-2.08427405357361,-2.02107429504395,-1.78495585918427,-1.871253490448,-1.87601327896118,-1.90760576725006,-1.89813280105591,-1.64396381378174,-1.67070078849792,-1.66307282447815,-1.70363104343414,-1.60623157024384,-1.43449056148529,-1.49029505252838,-1.58499252796173,-1.46377837657928,-1.48409974575043
"Korea, Rep.",KOR,Voice and Accountability: Estimate,VA.EST,0.668098986148834,0.638672411441803,0.637169182300568,0.74562805891037,0.723233759403229,0.728531181812286,0.745595574378967,0.690555095672607,0.699741125106812,0.657143592834473,0.707632899284363,0.741072177886963,0.726919293403625,0.725595772266388,0.705780982971191,0.680197238922119,0.631044268608093,0.641615033149719,0.758165240287781,0.799720466136932,0.751629054546356,0.822828948497772,0.932394802570343,0.878113925457001,0.8595951795578
"Korea, Rep.",KOR,Control of Corruption: Estimate,CC.EST,0.382197439670563,0.297208249568939,0.270445168018341,0.489189267158508,0.544911742210388,0.378848910331726,0.592332899570465,0.300606369972229,0.569716930389404,0.425825089216232,0.499742418527603,0.426656723022461,0.483322471380234,0.495882242918015,0.581018269062042,0.512005865573883,0.339694708585739,0.420221447944641,0.445519387722015,0.572804868221283,0.704865276813507,0.698268294334412,0.733288466930389,0.748368859291077,0.894088566303253
"Korea, Rep.",KOR,Rule of Law: Estimate,RL.EST,0.798747360706329,0.778700530529022,0.830339729785919,0.920009970664978,0.800298810005188,0.909604072570801,0.974222898483276,0.837951719760895,1.01054978370667,0.860504567623138,0.99423885345459,1.00820755958557,1.02559030056,0.984835565090179,0.945141017436981,1.00596332550049,0.902739524841309,1.1269690990448,1.1309677362442,1.1995415687561,1.15620601177216,1.14742302894592,1.09546947479248,1.1581643819809,1.24850225448608
"Korea, Rep.",KOR,Government Effectiveness: Estimate,GE.EST,0.473718643188477,0.290556639432907,0.613540589809418,0.796305239200592,0.790476679801941,0.815539062023163,0.924596548080444,0.984207689762115,1.20181572437286,0.994486927986145,1.02481615543365,1.14781618118286,1.15794360637665,1.07450258731842,1.0034042596817,1.03528797626495,0.977552056312561,1.02125263214111,1.02912318706512,1.1352561712265,1.33254516124725,1.3701868057251,1.36565375328064,1.34904730319977,1.40480732917786
Kosovo,XKX,Voice and Accountability: Estimate,VA.EST,-1.69988143444061,-1.26876902580261,-0.738669097423553,-0.390101492404938,-0.321591943502426,-0.361318320035934,-0.372446328401566,-0.505195736885071,-0.31247279047966,-0.313796252012253,-0.116848014295101,-0.180995032191277,-0.236089617013931,-0.223774790763855,-0.250489383935928,-0.201402097940445,-0.150895148515701,-0.148736447095871,-0.115523867309093,-0.137849971652031,-0.116050012409687,-0.160262569785118,-0.0842717438936234,-0.0566455610096455,-0.0888094082474709
Kosovo,XKX,Control of Corruption: Estimate,CC.EST,..,..,0.371275216341019,0.360481679439545,-0.504247784614563,-0.305080533027649,-0.526772022247314,-0.514050006866455,-0.735240697860718,-0.648774087429047,-0.585376560688019,-0.615350246429443,-0.61815357208252,-0.653357148170471,-0.649717092514038,-0.486257940530777,-0.559970378875732,-0.438401579856873,-0.527111172676086,-0.528270959854126,-0.54137921333313,-0.462970525026321,-0.341498196125031,-0.263819605112076,-0.185286059975624
